zipcode,centile,superzip,rank,city,state,adultpop,households,college,income
33914,54.56804,0,7250,Cape Coral,FL,18042,7798,20.25274%,68.80984
13456,54.56233,0,7251,Sauquoit,NY,2769,1180,21.19899%,67.17141
77968,54.56119,0,7252,Inez,TX,1390,630,15.7554%,76.54952
77571,54.55511,0,7253,La Porte,TX,20743,9209,14.06258%,79.46155
67660,54.54941,0,,Pfeifer,KS,39,9,30.76923%,50.6695
54901,54.54376,0,7254,Oshkosh,WI,20527,7021,23.17923%,63.7455
61721,54.53801,0,,Armington,IL,422,188,20.14218%,68.9759
12501,54.53742,0,7255,Amenia,NY,1734,667,20.29988%,68.69869
44046,54.53659,0,7256,Huntsburg,OH,1275,528,14.90196%,77.98919
20755,54.53504,0,7257,Fort George G Meade,MD,4366,2391,29.43197%,52.94603
55117,54.52719,0,7258,Saint Paul,MN,24252,9456,23.47848%,63.20023
84070,54.51688,0,7259,Sandy,UT,13318,5756,21.21189%,67.10342
48221,54.50505,0,7260,Detroit,MI,29775,11689,22.75399%,64.43461
84334,54.49685,0,,Riverside,UT,83,39,14.45783%,78.72798
36207,54.49337,0,7261,Anniston,AL,12616,5013,24.75428%,60.97208
48239,54.48286,0,7262,Redford,MI,25668,10184,16.99392%,74.3449
43469,54.47526,0,7263,Woodville,OH,2010,828,17.21393%,73.96178
66086,54.4735,0,7264,Tonganoxie,KS,4415,1953,16.60249%,75.01309
44092,54.4687,0,7265,Wickliffe,OH,13045,4915,20.023%,69.11712
30071,54.46142,0,7266,Norcross,GA,13482,4752,23.29773%,63.4696
47532,54.45691,0,7267,Ferdinand,IN,2969,1198,18.65948%,71.45642
17552,54.45349,0,7268,Mount Joy,PA,9477,4053,17.5583%,73.35113
80926,54.45059,0,7269,Colorado Springs,CO,1103,465,21.48685%,66.57907
12529,54.44982,0,7270,Hillsdale,NY,1695,681,27.07964%,56.92375
3860,54.44864,0,7271,North Conway,NH,2582,938,29.00852%,53.59983
3048,54.44732,0,7272,Greenville,NH,2240,885,17.63393%,73.19945
1235,54.44624,0,7273,Hinsdale,MA,1698,698,21.73145%,66.13448
45103,54.44141,0,7274,Batavia,OH,15911,7066,18.28923%,72.05791
64138,54.43253,0,7275,Kansas City,MO,16437,6715,22.16341%,65.37346
85281,54.42102,0,7276,Tempe,AZ,25449,8044,32.44135%,47.66071
8835,54.412,0,7277,Manville,NJ,7425,2806,13.69697%,79.96104
19980,54.40995,0,,Woodside,DE,48,18,25%,60.4765
55373,54.40922,0,7278,Rockford,MN,2617,1163,14.59687%,78.40108
92563,54.40551,0,7279,Murrieta,CA,10886,4664,16.535%,75.04185
44049,54.40251,0,,Kipton,OH,52,23,23.07692%,63.7455
46181,54.4017,0,7280,Trafalgar,IN,2889,1289,15.99169%,75.94802
98847,54.40068,0,7281,Peshastin,WA,842,364,20.30879%,68.49732
18085,54.40026,0,7282,Tatamy,PA,659,272,17.75417%,72.8987
16127,54.39764,0,7283,Grove City,PA,8916,3593,25.39255%,59.72986
3280,54.39502,0,7284,Washington,NH,617,246,22.04214%,65.50161
8330,54.39092,0,7285,Mays Landing,NJ,14306,5455,18.65651%,71.3335
85305,54.38607,0,7286,Glendale,AZ,3374,1376,13.8115%,79.68253
59911,54.38377,0,7287,Bigfork,MT,4980,2085,28.8755%,53.70313
47546,54.37887,0,7288,Jasper,IN,12876,5322,17.06275%,74.05854
36116,54.36918,0,7289,Montgomery,AL,22415,10108,28.6683%,54.05488
16002,54.36009,0,7290,Butler,PA,10701,4542,20.26913%,68.52608
81523,54.35703,0,,Glade Park,CO,417,184,19.90408%,69.15243
46075,54.3566,0,7291,Whitestown,IN,1186,470,18.2968%,71.918
20680,54.35607,0,7292,Ridge,MD,724,305,17.81768%,72.73525
62512,54.35578,0,,Beason,IL,345,167,12.75362%,81.45302
62258,54.35435,0,7293,Mascoutah,IL,4869,2041,18.03245%,72.35605
84036,54.35239,0,7294,Kamas,UT,2266,1024,19.32921%,70.12005
5355,54.35163,0,,Wardsboro,VT,489,179,26.58487%,57.61678
12721,54.35054,0,7295,Bloomingburg,NY,3484,1448,19.34558%,70.09129
84107,54.34435,0,7296,Salt Lake City,UT,19094,7898,25.08118%,60.20452
55407,54.33286,0,7297,Minneapolis,MN,22766,7765,28.39322%,54.49685
38758,54.3266,0,,Mattson,MS,26,8,19.23077%,70.2835
61740,54.32627,0,7298,Flanagan,IL,1187,458,19.54507%,69.73823
49267,54.32521,0,7299,Ottawa Lake,MI,2668,1142,14.3928%,78.61552
19543,54.32384,0,7300,Morgantown,PA,2281,961,19.59667%,69.63885
21650,54.32317,0,,Massey,MD,193,72,18.65285%,71.2642
85032,54.31097,0,7301,Phoenix,AZ,44267,16852,23.05329%,63.67881
42047,54.29876,0,,Hampton,KY,192,75,6.77083%,91.73598
29204,54.29491,0,7302,Columbia,SC,13843,4950,30.268%,51.23569
43447,54.29045,0,7303,Millbury,OH,2393,1020,14.33347%,78.69398
59028,54.28968,0,,Fishtail,MT,438,170,24.42922%,61.29375
61516,54.28943,0,,Benson,IL,459,200,14.81481%,77.86104
60018,54.28378,0,7304,Des Plaines,IL,20130,7510,16.87531%,74.3083
95519,54.27541,0,7305,McKinleyville,CA,10377,4250,26.53946%,57.65208
48145,54.27194,0,7306,La Salle,MI,2248,974,9.74199%,86.59319
95610,54.26374,0,7307,Citrus Heights,CA,27621,11078,20.03548%,68.84383
78653,54.25534,0,7308,Manor,TX,3010,1287,20.49834%,68.03181
91754,54.24803,0,7309,Monterey Park,CA,23616,8692,26.64295%,57.44287
62354,54.24125,0,7310,Nauvoo,IL,1083,443,22.34534%,64.83473
63012,54.2394,0,7311,Barnhart,MO,5654,2595,14.67987%,78.04149
11722,54.23219,0,7312,Central Islip,NY,20616,7486,15.12903%,77.26347
12543,54.22601,0,7313,Maybrook,NY,1895,790,16.88654%,74.22984
75040,54.21659,0,7314,Garland,TX,32422,13923,18.87916%,70.78954
87734,54.20765,0,,Ocate,NM,171,54,28.65497%,53.9385
13820,54.20458,0,7315,Oneonta,NY,10997,4038,28.55324%,54.11241
37167,54.19568,0,7316,Smyrna,TN,21431,9622,19.46713%,69.76962
76542,54.18587,0,7317,Killeen,TX,14292,6814,23.62161%,62.60527
73112,54.17597,0,7318,Oklahoma City,OK,21792,7347,28.9051%,53.49392
4530,54.16781,0,7319,Bath,ME,7947,3032,23.95873%,62.01554
28213,54.16148,0,7320,Charlotte,NC,15102,5960,24.26169%,61.48597
58271,54.15719,0,7321,Pembina,ND,530,229,17.16981%,73.68849
58077,54.15693,0,,Walcott,ND,428,189,21.02804%,67.0145
79934,54.15527,0,7322,El Paso,TX,5623,2671,23.95518%,61.96716
66401,54.15337,0,7323,Alma,KS,1287,518,22.37762%,64.67912
47638,54.15243,0,7324,Wadesville,IN,2149,963,16.10051%,75.49559
7735,54.14806,0,7325,Keyport,NJ,13792,5204,12.97854%,80.87244
45327,54.14274,0,7326,Germantown,OH,5542,2438,16.65464%,74.5332
15929,54.14121,0,,Dilltown,PA,47,21,29.78723%,51.89603
1468,54.1406,0,7327,Templeton,MA,2157,927,17.43162%,73.18507
13640,54.13995,0,,Wellesley Island,NY,227,92,22.90749%,63.7455
23139,54.13592,0,7328,Powhatan,VA,14449,5506,17.79362%,72.55742
45845,54.13147,0,7329,Fort Loramie,OH,1770,779,14.40678%,78.39323
18354,54.13076,0,7330,Sciota,PA,808,357,14.85149%,77.61391
14840,54.12986,0,7331,Hammondsport,NY,2467,1002,26.26672%,57.93975
45033,54.12915,0,,Hooven,OH,127,51,17.32284%,73.34851
92325,54.12716,0,7332,Crestline,CA,7104,2840,20.66441%,67.58854
53144,54.12132,0,7333,Kenosha,WI,14171,5675,19.15885%,70.18151
33772,54.11254,0,7334,Seminole,FL,17850,6458,22.23529%,64.87657
1515,54.10724,0,7335,East Brookfield,MA,1428,598,16.2465%,75.187
62022,54.10667,0,7336,Dow,IL,652,280,11.50307%,83.3595
86301,54.10266,0,7337,Prescott,AZ,13970,5093,25.8554%,58.62625
58703,54.09572,0,7338,Minot,ND,11307,4719,25.4621%,59.30358
33322,54.08392,0,7339,Fort Lauderdale,FL,31701,11131,23.04659%,63.46437
1952,54.07371,0,7340,Salisbury,MA,5493,2025,17.13089%,73.65318
46231,54.07115,0,7341,Indianapolis,IN,3844,1661,17.3257%,73.3119
85615,54.06886,0,7342,Hereford,AZ,4492,1907,23.9537%,61.88609
98003,54.06027,0,7343,Federal Way,WA,26807,10756,22.84851%,63.78996
82520,54.05085,0,7344,Lander,WY,7523,3040,28.15366%,54.64199
29920,54.047,0,7345,Saint Helena Island,SC,6488,2801,25.44698%,59.3062
48879,54.04216,0,7346,Saint Johns,MI,11149,4804,17.25715%,73.41913
30093,54.031,0,7347,Norcross,GA,29526,10740,24.59527%,60.76548
4947,54.02254,0,7348,Kingfield,ME,1276,495,29.31035%,52.6309
49053,54.02104,0,7349,Galesburg,MI,4185,1714,18.97252%,70.44434
12942,54.01977,0,,Keene,NY,438,182,27.85388%,55.13757
57730,54.0187,0,7350,Custer,SD,3449,1401,25.83357%,58.61709
85302,54.01147,0,7351,Glendale,AZ,22880,9131,20.91346%,67.08772
23801,54.00444,0,7352,Fort Lee,VA,2723,1231,29.34264%,52.5616
67041,54.00367,0,,Elbing,KS,143,69,22.37762%,64.56275
52543,54.00357,0,,Cedar,IA,201,95,15.9204%,75.67735
92584,54.0011,0,7353,Menifee,CA,8788,3903,17.72872%,72.55088
51576,53.99842,0,7354,Underwood,IA,988,432,14.67611%,77.8022
50228,53.99776,0,7355,Prairie City,IA,1428,599,16.31653%,74.96471
78109,53.99348,0,7356,Converse,TX,14157,6359,20.96489%,66.95435
49079,53.98729,0,7357,Paw Paw,MI,8362,3480,18.30902%,71.51003
98264,53.98221,0,7358,Lynden,WA,10162,4517,21.33438%,66.28748
64476,53.97935,0,,Pickering,MO,279,120,21.14695%,66.60653
54935,53.97072,0,7359,Fond du Lac,WI,31143,12283,20.20358%,68.22665
64454,53.96175,0,7360,Gower,MO,1559,660,17.63951%,72.64503
71104,53.95872,0,7361,Shreveport,LA,9467,3572,33.11503%,45.96868
47022,53.95558,0,7362,Guilford,IN,1984,908,16.83468%,74.01931
53167,53.95501,0,,Rochester,WI,85,25,17.64706%,72.61887
50073,53.95484,0,7363,Elkhart,IA,521,215,17.65835%,72.59926
10931,53.95457,0,,Hillburn,NY,457,177,16.6302%,74.36975
55721,53.9539,0,7364,Cohasset,MN,1972,883,21.39959%,66.14756
19018,53.94893,0,7365,Clifton Heights,PA,16158,6060,19.24124%,69.85722
96766,53.94224,0,7366,Lihue,HI,8216,2856,17.92843%,72.10629
40228,53.93789,0,7367,Louisville,KY,7634,3314,17.43516%,72.95362
53405,53.93118,0,7368,Racine,WI,16805,7076,19.78578%,68.89745
99559,53.92553,0,7369,Bethel,AK,3758,1429,19.26557%,69.78792
75146,53.92183,0,7370,Lancaster,TX,9715,4205,19.98971%,68.52739
73757,53.91913,0,,Lucien,OK,123,52,22.76423%,63.7455
1378,53.91896,0,,Warwick,MA,496,203,25%,59.88154
53534,53.91678,0,7371,Edgerton,WI,7431,3014,17.95182%,72.01607
96826,53.90852,0,7372,Honolulu,HI,22673,7060,27.95396%,54.77013
11726,53.89908,0,7373,Copiague,NY,11740,4226,13.22828%,80.14149
49270,53.89482,0,7374,Petersburg,MI,3786,1656,12.30851%,81.725
64055,53.88721,0,7375,Independence,MO,23906,9702,20.77303%,67.12565
45780,53.88005,0,7376,The Plains,OH,2183,834,25.19469%,59.4958
3812,53.87928,0,7377,Bartlett,NH,610,228,25.57377%,58.842
23805,53.87571,0,7378,Petersburg,VA,12437,4971,22.4009%,64.30123
98244,53.87185,0,7379,Deming,WA,1593,628,18.26742%,71.42242
1089,53.86615,0,7380,West Springfield,MA,19168,7193,21.55676%,65.74874
43029,53.86081,0,,Irwin,OH,317,106,21.76656%,65.38
5666,53.86071,0,,North Montpelier,VT,44,19,31.81818%,48.0543
13776,53.86053,0,7381,Gilbertsville,NY,581,228,22.03098%,64.91319
22971,53.86002,0,7382,Shipman,VA,1299,523,21.3241%,66.12794
92139,53.85374,0,7383,San Diego,CA,21589,8961,21.47853%,65.85858
4653,53.8477,0,,Bass Harbor,ME,413,144,26.63438%,56.97344
57055,53.84739,0,7384,Renner,SD,753,335,13.94422%,78.83782
85053,53.84246,0,7385,Phoenix,AZ,17221,7243,20.79438%,67.0315
98665,53.834,0,7386,Vancouver,WA,13551,5414,20.93572%,66.78698
99714,53.83008,0,7387,Salcha,AK,749,280,13.35113%,79.85644
60550,53.82962,0,7388,Shabbona,IL,953,384,15.11018%,76.8215
46131,53.82462,0,7389,Franklin,IN,17230,7081,17.92223%,71.97423
53545,53.81225,0,7390,Janesville,WI,27866,10914,17.88201%,72.04222
79540,53.80458,0,,Old Glory,TX,63,21,22.22222%,64.56275
45302,53.80394,0,7391,Anna,OH,2269,1040,12.29617%,81.65177
30273,53.80141,0,7392,Rex,GA,6965,3055,18.06174%,71.7114
77426,53.79926,0,7393,Chappell Hill,TX,869,380,20.13809%,68.1325
49419,53.79795,0,7394,Hamilton,MI,3873,1761,14.0976%,78.53838
53032,53.796,0,7395,Horicon,WI,3254,1438,15.3657%,76.34684
99025,53.79431,0,7396,Newman Lake,WA,2892,1293,18.39557%,71.12429
66833,53.79342,0,,Allen,KS,374,163,26.47059%,57.2075
59758,53.79298,0,7397,West Yellowstone,MT,1202,425,28.70216%,53.36185
43767,53.79238,0,7398,Norwich,OH,1014,440,20.01972%,68.3221
95045,53.79152,0,7399,San Juan Bautista,CA,2095,804,17.3747%,72.87909
46341,53.7893,0,7400,Hebron,IN,6018,2655,14.68927%,77.50668
8721,53.78444,0,7401,Bayville,NJ,11666,4672,14.61512%,77.63352
5657,53.78122,0,,Lake Elmore,VT,58,24,29.31035%,52.304
33955,53.77979,0,7402,Punta Gorda,FL,5159,2174,23.31847%,62.62881
14622,53.77591,0,7403,Rochester,NY,8983,3330,21.74107%,65.34338
3602,53.77304,0,7404,Alstead,NH,1452,606,24.86226%,59.96261
78725,53.77229,0,7405,Austin,TX,1287,509,23.15462%,62.9021
21237,53.76713,0,7406,Rosedale,MD,17538,6730,17.20835%,73.14845
97810,53.76217,0,7407,Adams,OR,541,228,24.02958%,61.38398
58361,53.76197,0,,Pekin,ND,180,77,31.66667%,48.21775
28673,53.76108,0,7408,Sherrills Ford,NC,3025,1228,21.19008%,66.26786
61859,53.76004,0,7409,Ogden,IL,771,355,18.93645%,70.14751
52742,53.75853,0,7410,De Witt,IA,4735,2012,18.58501%,70.73462
49806,53.75711,0,,Au Train,MI,449,183,20.26726%,67.83175
4042,53.75624,0,7411,Hollis Center,ME,2715,1142,18.89503%,70.19458
1301,53.75195,0,7412,Greenfield,MA,12897,4496,24.2537%,60.94854
99022,53.74708,0,7413,Medical Lake,WA,4822,1879,18.39486%,71.04191
50104,53.74572,0,,Gibson,IA,146,59,28.08219%,54.34778
44054,53.74355,0,7414,Sheffield Lake,OH,7778,3323,15.92955%,75.28638
56273,53.74065,0,7415,New London,MN,2781,1178,20.10068%,68.09457
74459,53.73987,0,,Rentiesville,OK,37,17,29.72973%,51.48675
84006,53.73975,0,,Bingham Canyon,UT,419,214,19.33174%,69.40349
15622,53.73938,0,7416,Champion,PA,922,368,22.99349%,63.0917
37217,53.734,0,7417,Nashville,TN,18662,6636,25.18487%,59.31143
66830,53.72882,0,,Admire,KS,208,88,23.55769%,62.111
49449,53.72822,0,7418,Pentwater,MI,2008,859,24.60159%,60.30651
92806,53.72197,0,7419,Anaheim,CA,20719,8000,19.92857%,68.35479
33182,53.7132,0,7420,Miami,FL,11241,3542,16.11956%,74.90848
44451,53.70953,0,7421,North Jackson,OH,2153,871,15.88481%,75.31253
46031,53.70852,0,7422,Atlanta,IN,1499,636,12.54169%,81.0712
62634,53.70795,0,7423,Elkhart,IL,600,254,18.16667%,71.37273
50141,53.70766,0,,Laurel,IA,468,195,17.94872%,71.71401
32508,53.70628,0,7424,Pensacola,FL,4534,385,34.09793%,43.88044
56073,53.702,0,7425,New Ulm,MN,11078,4607,19.85918%,68.41494
68041,53.69879,0,7426,Mead,NE,607,271,21.4168%,65.73044
19113,53.6986,0,,Philadelphia,PA,91,31,5.49451%,93.1665
8344,53.69739,0,7427,Newfield,NJ,4322,1586,15.96483%,75.11639
67849,53.69613,0,,Hanston,KS,282,126,27.30497%,55.573
50072,53.6956,0,7428,Earlham,IA,1621,665,17.33498%,72.75356
76258,53.69414,0,7429,Pilot Point,TX,3718,1570,19.7149%,68.649
58565,53.69306,0,,Riverdale,ND,212,90,20.28302%,67.6683
2919,53.68735,0,7430,Johnston,RI,20592,7769,17.90501%,71.75455
78058,53.68161,0,,Mountain Home,TX,338,134,27.81065%,54.68122
84405,53.67753,0,7431,Ogden,UT,14511,6668,20.06754%,68.01743
38115,53.66675,0,7432,Memphis,TN,24756,10103,26.04217%,57.72139
58577,53.65962,0,7433,Washburn,ND,1222,555,18.90344%,70.01152
23830,53.65907,0,7434,Carson,VA,807,375,19.33085%,69.2688
71485,53.65857,0,7435,Woodworth,LA,977,469,24.05322%,61.1303
85531,53.65825,0,,Central,AZ,194,106,28.35051%,53.70444
52318,53.65799,0,7436,Norway,IA,768,334,14.19271%,78.09248
58521,53.65768,0,,Baldwin,ND,374,171,21.123%,66.14626
5468,53.65562,0,7437,Milton,VT,7119,3121,19.89043%,68.26588
47383,53.65312,0,7438,Selma,IN,1985,941,18.28715%,71.01968
13057,53.64967,0,7439,East Syracuse,NY,10592,3956,21.06307%,66.23386
23228,53.64062,0,7440,Henrico,VA,22383,7837,23.61614%,61.8194
68364,53.63444,0,,Goehner,NE,143,50,15.38462%,76.00425
82325,53.63423,0,7441,Encampment,WY,617,261,26.58023%,56.70407
33615,53.62637,0,7442,Tampa,FL,28013,10564,22.59665%,63.55198
3817,53.61856,0,,Chocorua,NH,426,160,27.69953%,54.75575
87742,53.61831,0,,Rociada,NM,477,198,32.91405%,45.766
28450,53.61773,0,7443,Lake Waccamaw,NC,1643,642,20.75472%,66.71767
12526,53.6166,0,7444,Germantown,NY,2514,969,22.43437%,63.82003
8348,53.61582,0,,Port Elizabeth,NJ,301,125,14.61794%,77.28831
54017,53.61363,0,7445,New Richmond,WI,7656,3137,17.21526%,72.80848
12308,53.60919,0,7446,Schenectady,NY,8538,3256,27.9925%,54.23532
63069,53.60408,0,7447,Pacific,MO,10092,4025,17.03329%,73.11838
46356,53.59873,0,7448,Lowell,IN,9394,4031,14.50926%,77.46615
77007,53.59203,0,7449,Houston,TX,15046,4684,31.18437%,48.72902
12492,53.58783,0,,West Kill,NY,227,73,28.63436%,53.12125
3244,53.58652,0,7450,Hillsborough,NH,4539,1796,21.01784%,66.24432
18812,53.58495,0,7451,Brackney,PA,1170,516,20.8547%,66.52415
80483,53.58453,0,,Yampa,CO,376,139,23.93617%,61.20353
3443,53.58431,0,,Chesterfield,NH,425,178,20.47059%,67.16357
2920,53.57659,0,7452,Cranston,RI,27690,9363,20.93174%,66.35939
6778,53.56898,0,,Northfield,CT,34,13,23.52941%,61.87694
93277,53.56124,0,7453,Visalia,CA,28153,11932,21.14162%,65.9828
96817,53.54317,0,7454,Honolulu,HI,37677,12066,22.41951%,63.7795
54658,53.53233,0,7455,Stoddard,WI,1833,788,19.09438%,69.5094
92377,53.5289,0,7456,Rialto,CA,10672,4493,14.28036%,77.80482
5352,53.52582,0,7457,Stamford,VT,564,251,21.98582%,64.52352
11944,53.52494,0,7458,Greenport,NY,2653,900,22.99284%,62.78441
15211,53.5218,0,7459,Pittsburgh,PA,8775,2801,25.81197%,57.92537
99729,53.51934,0,,Cantwell,AK,194,80,19.58763%,68.649
30143,53.51583,0,7460,Jasper,GA,12585,5486,20.72308%,66.69022
1011,53.51199,0,7461,Chester,MA,1392,562,20.97701%,66.25217
30566,53.51042,0,7462,Oakwood,GA,4322,1905,17.63073%,72.00561
88005,53.5013,0,7463,Las Cruces,NM,28924,11995,27.98022%,54.16864
33803,53.4883,0,7464,Lakeland,FL,18436,6931,25.52615%,58.39219
53533,53.48201,0,7465,Dodgeville,WI,4480,1812,20.95982%,66.25478
36572,53.47974,0,7466,Satsuma,AL,3812,1724,18.70409%,70.13966
64444,53.47841,0,7467,Edgerton,MO,1010,451,16.13861%,74.55804
15006,53.47806,0,,Bairdford,PA,301,103,17.60797%,72.00822
33175,53.46842,0,7468,Miami,FL,34811,13619,19.82419%,68.18742
63139,53.45403,0,7469,Saint Louis,MO,17630,5599,25.35451%,58.64978
39170,53.44783,0,7470,Terry,MS,4956,2228,18.76513%,69.99714
81243,53.44645,0,,Powderhorn,CO,46,19,17.3913%,72.36389
12121,53.44608,0,7471,Melrose,NY,1310,571,13.74046%,78.64429
56058,53.44466,0,7472,Le Sueur,MN,3864,1654,17.85714%,71.54141
77418,53.44197,0,7473,Bellville,TX,5938,2471,22.90334%,62.84064
51018,53.44024,0,,Cushing,IA,368,163,23.6413%,61.56573
6418,53.43773,0,7474,Derby,CT,8762,3261,17.84981%,71.54533
81252,53.43469,0,7475,Westcliffe,CO,2318,984,28.1277%,53.82997
95368,53.43213,0,7476,Salida,CA,7011,3074,13.70703%,78.67567
14589,53.42877,0,7477,Williamson,NY,5228,2189,17.52104%,72.09975
96062,53.42717,0,7478,Millville,CA,581,242,20.99828%,66.10703
26181,53.42575,0,7479,Washington,WV,4626,2081,17.07739%,72.85555
6708,53.41907,0,7480,Waterbury,CT,19677,7392,20.17076%,67.52054
97640,53.41366,0,,Summer Lake,OR,54,24,29.62963%,51.21477
37037,53.41291,0,7481,Christiana,TN,2685,1225,19.4041%,68.83468
23430,53.40937,0,7482,Smithfield,VA,10183,4433,18.89424%,69.70947
55932,53.40628,0,7483,Elgin,MN,1089,488,17.53903%,72.03046
77430,53.40556,0,7484,Damon,TX,1516,660,17.08443%,72.80978
78675,53.40512,0,,Willow City,TX,110,52,31.81818%,47.4005
13148,53.40305,0,7485,Seneca Falls,NY,7402,2872,21.84545%,64.56275
54028,53.40067,0,7486,Woodville,WI,1285,561,18.5214%,70.2835
48002,53.39976,0,7487,Allenton,MI,2024,875,8.3498%,87.80927
68349,53.39901,0,7488,Elmwood,NE,716,310,19.8324%,68.02004
43762,53.39807,0,7489,New Concord,OH,2713,1149,22.96351%,62.61181
44080,53.3973,0,,Parkman,OH,68,19,16.17647%,74.30698
22448,53.39717,0,,Dahlgren,VA,425,208,28.70588%,52.71328
23181,53.39622,0,7490,West Point,VA,3006,1215,17.16567%,72.59926
65721,53.39209,0,7491,Ozark,MO,12039,5481,24.93563%,59.20943
33426,53.38539,0,7492,Boynton Beach,FL,12375,4257,20.64646%,66.59215
98359,53.38127,0,7493,Olalla,WA,2618,1073,18.75477%,69.84545
88330,53.38034,0,7494,Holloman AFB,NM,766,394,30.93995%,48.84278
53006,53.37982,0,7495,Brownsville,WI,1134,476,14.46208%,77.23078
73020,53.37638,0,7496,Choctaw,OK,11404,5100,16.82743%,73.14714
21783,53.37175,0,7497,Smithsburg,MD,5462,2267,15.65361%,75.15692
8244,53.36803,0,7498,Somers Point,NJ,8117,2943,19.89651%,67.8409
59528,53.36574,0,,Hingham,MT,205,85,24.87805%,59.25128
83402,53.36168,0,7499,Idaho Falls,ID,14556,6334,25.63891%,57.93714
98360,53.35639,0,7500,Orting,WA,4726,2011,12.54761%,80.49586
73855,53.35506,0,,Rosston,OK,127,52,26.77165%,55.98228
99919,53.35492,0,,Thorne Bay,AK,380,175,23.68421%,61.29375
60634,53.34057,0,7501,Chicago,IL,51886,18937,16.06021%,74.42336
99179,53.32624,0,,Uniontown,WA,327,147,22.62997%,63.0917
21678,53.32572,0,7502,Worton,MD,1577,700,22.70133%,62.96355
12861,53.32516,0,,Putnam Station,NY,463,192,16.41469%,73.78656
23666,53.31638,0,7503,Hampton,VA,31492,13095,21.80554%,64.49476
8005,53.30468,0,7504,Barnegat,NJ,11165,4602,16.02329%,74.45866
23056,53.30153,0,,Foster,VA,287,97,14.98258%,76.24485
3222,53.3005,0,7505,Bristol,NH,3489,1411,23.73173%,61.16299
7306,53.28958,0,7506,Jersey City,NJ,36266,12573,28.8645%,52.30792
70435,53.27771,0,7507,Covington,LA,7004,3071,22.70131%,62.92825
29575,53.26978,0,7508,Myrtle Beach,SC,21857,8843,22.43675%,63.38068
13207,53.26131,0,7509,Syracuse,NY,8986,3848,26.86401%,55.75084
24901,53.25734,0,7510,Lewisburg,WV,5494,2222,26.82927%,55.80444
76116,53.24777,0,7511,Fort Worth,TX,29392,11628,25.69066%,57.76323
55360,53.23943,0,7512,Mayer,MN,959,399,14.07716%,77.77474
63357,53.23829,0,7513,Marthasville,MO,3253,1394,15.49339%,75.33215
70791,53.23402,0,7514,Zachary,LA,12272,5434,18.91297%,69.43225
53001,53.2303,0,7515,Adell,WI,1277,559,13.46907%,78.81167
93541,53.22984,0,,Lee Vining,CA,392,148,23.72449%,61.1303
70130,53.22691,0,7516,New Orleans,LA,10318,2670,36.97422%,38.29437
28712,53.2206,0,7517,Brevard,NC,12669,5072,24.35867%,60.02276
5873,53.21702,0,,West Danville,VT,379,160,27.17678%,55.16503
48134,53.21419,0,7518,Flat Rock,MI,9929,4342,13.14332%,79.34779
17316,53.21023,0,7519,East Berlin,PA,4485,1907,17.36901%,72.06445
2136,53.20389,0,7520,Hyde Park,MA,18617,6996,21.57705%,64.80727
5763,53.19823,0,7521,Pittsford,VT,1987,792,22.84852%,62.61443
62918,53.19614,0,7522,Carterville,IL,5619,2419,25.48496%,58.06921
54441,53.19446,0,7523,Hewitt,WI,508,229,16.14173%,74.16576
53057,53.19396,0,7524,Mount Calvary,WI,1290,436,15.65892%,74.99478
39148,53.1936,0,,Piney Woods,MS,25,12,44%,26.152
4859,53.19347,0,,Spruce Head,ME,463,209,22.89417%,62.52028
98032,53.18819,0,7525,Kent,WA,18752,6704,22.22163%,63.67881
8821,53.18299,0,,Flagtown,NJ,210,64,12.38095%,80.63577
57401,53.17782,0,7526,Aberdeen,SD,18601,7525,24.95565%,58.95576
13164,53.17241,0,7527,Warners,NY,1170,457,15.89744%,74.55151
46157,53.17157,0,7528,Monrovia,IN,1841,818,13.57958%,78.5423
60626,53.1609,0,7529,Chicago,IL,37033,11684,32.76267%,45.47702
18037,53.14936,0,7530,Coplay,PA,5029,2056,17.85643%,71.16351
6360,53.14093,0,7531,Norwich,CT,25721,9841,19.83204%,67.7546
93669,53.13379,0,,Wishon,CA,259,84,19.69112%,67.9952
70437,53.13266,0,7532,Folsom,LA,3872,1733,22.70145%,62.79488
45875,53.12969,0,7533,Ottawa,OH,6938,2913,15.60969%,75.01309
65564,53.12775,0,,Solo,MO,125,59,20%,67.42378
32571,53.12355,0,7534,Milton,FL,15199,6874,20.88953%,65.88735
11355,53.10323,0,7535,Flushing,NY,58834,20821,28.30506%,53.10686
98828,53.08677,0,7536,Malaga,WA,1136,538,20.33451%,66.8419
83835,53.08374,0,7537,Hayden,ID,9887,4374,23.9911%,60.53665
92342,53.08003,0,7538,Helendale,CA,3637,1545,20.62139%,66.33978
22511,53.07875,0,7539,Lottsburg,VA,1008,426,19.64286%,68.0135
47712,53.07437,0,7540,Evansville,IN,14937,6109,18.68514%,69.65585
6750,53.07,0,7541,Bantam,CT,967,351,19.33816%,68.52347
59808,53.06776,0,7542,Missoula,MT,7212,2833,23.26678%,61.74226
91978,53.06438,0,7543,Spring Valley,CA,5107,2064,19.8551%,67.61208
80903,53.06043,0,7544,Colorado Springs,CO,9276,2721,31.01552%,48.36682
2910,53.05389,0,7545,Cranston,RI,14541,5618,21.11959%,65.41923
66543,53.04976,0,7546,Vassar,KS,524,243,19.84733%,67.60423
76148,53.04544,0,7547,Fort Worth,TX,15182,6789,14.86629%,76.18208
